Start_date;End_date;Country;ISO;Location;Latitude;Longitude;Magnitude_value;Magnitude_scale;Disaster_type;Disaster_subtype;Associated_disaster;Associated_disaster2;Total_deaths;Total_affected;Total_damage;Insured_losses;Disaster_name;Disaster_No
/02/2006;/02/2006;Afghanistan;AFG;Badakhshan province;;;;Kph;Storm;Convective storm;--;--;42;0;0;0;;2006-0068
/05/2000;//2002;Afghanistan;AFG;Kandahar, Hilmand, Nimroz, Zabul, Uruzgan provinces (south-west), Hirat, Farah, Badghis provinces (west), Paktika, Khost, Ghazni provinces (south), Baghlan, Kunduz, Takhar, Badakhshan provinces (north-east);;;;Km2;Drought;Drought;Water shortage;Famine;37;2580000;50;0;;2000-9186
17/02/2017;19/02/2017;Afghanistan;AFG;Kabul province, Kohistan, Pashtoonkot, Andkhoy, Qurmkul, Balcheragh, and Dawlat districts (Faryab province);;;;Kph;Storm;Convective storm;Slide (land, mud, snow, rock);Snow/ice;36;9055;0;0;;2017-0071
24/01/2017;25/01/2017;Afghanistan;AFG;"Darzab district (Jawzjan province); Bamyan, Shawel region (Baghlan province)";;;;Kph;Storm;Convective storm;Cold wave;Avalanche (Snow, Debris);31;0;0;0;;2017-0038
01/01/2006;/02/2006;Afghanistan;AFG;Deh Mardi, Deh Yak villages (Sancharak district, Sar-e-Pul province), Gholdori, Aular village (Kohestanat district, Sar-e-Pul province), Lash-e-Juwayn district (Farah province), Kandahar province;;;;Kph;Storm;--;Cold wave;Rain;29;0;0;0;;2006-0029
18/04/1991;18/04/1991;Afghanistan;AFG;Keshim (Badakhshan province);37.457 N;68.273 E;5.4;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;24;0;0;0;;1991-0498
16/04/2009;16/04/2009;Afghanistan;AFG;Sherzad, Hesarak, Khogyani districts (Nangarhar province);34.185;70.08;5.5;Richter;Earthquake;Ground movement;--;--;22;3309;0;0;;2009-0156
09/04/2005;10/04/2005;Afghanistan;AFG;Badakhshan province;;;;°C;Extreme temperature ;Cold wave;Snow/ice;--;21;0;0;0;;2005-0757
10/02/2011;14/02/2011;Afghanistan;AFG;Daykundi province;;;;Kph;Storm;Convective storm;Avalanche (Snow, Debris);--;21;5;0;0;;2011-0642
24/04/2013;24/04/2013;Afghanistan;AFG;Kama, Dehbala, Lalpur, Surkhrod, Kuzkunar, Sherzad, Khogyani, Chaparhar, Dara-e-Nur, Goshta, Durbaba, Muhmand Dara, Behsud, Jalalabad, Batikot, Hesarak, Shinwar, Achin districts (Nangarhar province), Nurgal, Khaskunar, Sarkani, Chawkay (Kunar province);;;5.7;Richter;Earthquake;Ground movement;--;--;18;3531;0;0;;2013-0151
20/05/1992;20/05/1992;Afghanistan;AFG;;33.377 N;71.317 E;5.5;Richter;Earthquake;Ground movement;--;--;14;0;0;0;;1992-0202
16/12/1983;16/12/1983;Afghanistan;AFG;Hindu Kush region, North-East provinces;34.01 N;71.40 E;6.8;Richter;Earthquake;Ground movement;--;--;12;34503;3000;0;;1983-0166
18/04/2010;18/04/2010;Afghanistan;AFG;Samangan province;35.633;67.658;5.6;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;11;1070;0;0;;2010-0669
14/05/1993;14/05/1993;Afghanistan;AFG;Chah-i-Ab district (Takhar Province);;;;Kph;Storm;--;--;--;10;0;0;0;;1993-0159
10/05/1997;10/05/1997;Afghanistan;AFG;Herat area;33.825 N;59.809 E;6.4;Richter;Earthquake;Ground movement;--;--;5;0;10;0;;1997-0095
13/12/2005;13/12/2005;Afghanistan;AFG;Alishang district (Laghman province), Jalalabad district (Nangarhar province), Badakhsan province;36.357;71.093;6.8;Richter;Earthquake;Ground movement;--;--;5;501;0;0;;2005-0686
01/06/2001;01/06/2001;Afghanistan;AFG;Panjsher, Parwan, Kapisa provinces;35.169;69.389;5;Richter;Earthquake;Ground movement;--;--;4;270;0;0;;2001-0233
18/07/2004;18/07/2004;Afghanistan;AFG;Paktya province;33.426;69.524;5.2;Richter;Earthquake;Ground movement;--;--;2;1040;0;0;;2004-0436
02/02/1984;02/02/1984;Afghanistan;AFG;Jalalabad Area;34.26 N;70.28 E;5.8;Richter;Earthquake;Ground movement;--;--;1;35;5000;0;;1984-0309
10/04/2003;10/04/2003;Afghanistan;AFG;Yaka Bagh area (Namakab district, Takhar province);35.976;70.585;5.9;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;1;1001;0;0;;2003-0236
08/10/2005;08/10/2005;Afghanistan;AFG;Jalalabad district (Nangarhar province);34.539;73.588;7.6;Richter;Earthquake;Ground movement;--;--;1;0;50;0;;2005-0575
29/07/2006;29/07/2006;Afghanistan;AFG;Emamsaheb district (Kunduz province);37.255;68.828;5.6;Richter;Earthquake;Ground movement;--;--;1;935;0;0;;2006-0405
/01/1969;//1969;Afghanistan;AFG;Paktia province;;;;Km2;Drought;Drought;Food shortage;--;0;48000;200;0;;1969-9007
/08/1971;//1973;Afghanistan;AFG;Central, North-West, North-East, West regions;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1971-9085
31/01/1996;31/01/1996;Afghanistan;AFG;Pakhalsoz, Dar-E-Zand, Qala-E-Khwaja (Maimana, Faryab Province);36.0 N;65.0 E ;;Richter;Earthquake;Ground movement;--;--;0;3250;0;0;;1996-0020
20/02/1998;20/02/1998;Afghanistan;AFG;Rostaq area;36.479;71.086;6.4;Richter;Earthquake;Ground movement;--;--;0;0;0;0;;1998-0579
12/06/1999;12/06/1999;Afghanistan;AFG;Badil, Sholake, Hadwal, Dara Pech  (settlements) - Kunar Province;;;160;Km2;Wildfire;Forest fire;--;--;0;0;0;0;;1999-0195
25/02/2001;25/02/2001;Afghanistan;AFG;Fayzabad district (Badakhshan province);36.4;70.9;6.1;Richter;Earthquake;Ground movement;--;--;0;0;0;0;;2001-0086
/07/2006;//2006;Afghanistan;AFG;Badakhshan, Badghis, Baghlan, Balkh, Bamyan, Daykundi, Faryab, Ghor, Jawzjan, Kunduz, Samangan, Sar-e-Pul, Takhar, Uruzgan provinces;;;;Km2;Drought;Drought;--;--;0;1900000;0;0;;2006-9570
/10/2008;/10/2008;Afghanistan;AFG;Kunduz, Balkh, Faryab, Badghis provinces;;;;Km2;Drought;Drought;Food shortage;--;0;280000;0;0;;2008-9475
/01/2011;/08/2011;Afghanistan;AFG;Balkh, Samangan, Takhar, Sar-e-Pul, Hirat, Badghis, Faryab, Jawzjan, Baghlan, Kunduz, Badakshan, Bamyan, Daykundi, Ghor provinces;;;;Km2;Drought;Drought;Food shortage;--;0;1750000;142000;0;;2011-9312
25/12/2015;25/12/2015;Afghanistan;AFG;Ashkasham town (Eshkmesh district, Badakhshan province);36.494;71.13;6.3;Richter;Earthquake;Ground movement;--;--;0;407;0;0;;2015-0571
/04/2018;/07/2019;Afghanistan;AFG;Badghis, Daykundi, Hirat, Ghor, Daykundi, Badakhshan;;;;Km2;Drought;Drought;Food shortage;--;0;10600000;0;0;;2018-9278
/01/2001;//2001;Angola;AGO;Cuanza Sul province;;;;Km2;Drought;Drought;Famine;--;58;0;0;0;;2001-9152
/07/1981;//1981;Angola;AGO;Benguela, Mocamedes, Huila, Cunene, Kuando-Kobango, Bie;;;;Km2;Drought;Drought;Food shortage;--;0;80000;0;0;;1981-9309
//1985;//1985;Angola;AGO;;;;;Km2;Drought;Drought;--;--;0;500000;0;0;;1985-9400
/01/1989;//1992;Angola;AGO;Huila, Namibe, Kwanza Sul, Benguela;;;;Km2;Drought;Drought;--;--;0;1900000;0;0;;1989-9145
/03/1997;//1998;Angola;AGO;;;;;Km2;Drought;Drought;--;--;0;105000;0;0;;1997-9239
/09/2004;//2005;Angola;AGO;Cunene, Cuanza-Sul provinces;;;;Km2;Drought;Drought;Food shortage;--;0;25000;0;0;;2004-9480
/03/2012;/05/2013;Angola;AGO;Bengo, Cuanza Sul, Benguela, Huila, Namibe, Cunene, Moxico, Bie, Huambo, Zaire, Kuando Kubango provinces;;;;Km2;Drought;Drought;Food shortage;--;0;1833900;0;0;;2012-9065
/05/2017;/06/2017;Angola;AGO;Seven provinces in the South (Cunene, Huila, Namibe, Benguela, Cuando Cubango, Cuanza Sul and Huambo);;;;Km2;Drought;Drought;Food shortage;--;0;1420000;0;0;;2017-9207
04/09/1960;04/09/1960;Anguilla;AIA;South Hille and West End;;;;Kph;Storm;Tropical cyclone;--;--;5;1250;35000;0;Donna;1960-0026
06/09/2017;06/09/2017;Anguilla;AIA;;;;;Kph;Storm;Tropical cyclone;--;--;4;15000;200000;6700;Hurricane 'Irma';2017-0381
//1919;//1923;Anguilla;AIA;;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1919-9006
02/01/1955;02/01/1955;Anguilla;AIA;;;;;Kph;Storm;Tropical cyclone;--;--;0;0;0;0;Alice;1955-0025
03/09/1979;03/09/1979;Anguilla;AIA;;;;;Kph;Storm;Tropical cyclone;--;--;0;0;0;0;Frederic;1979-0185
18/04/1983;18/04/1983;Anguilla;AIA;;;;;Kph;Storm;Convective storm;--;--;0;0;160;0;;1983-0292
07/11/1984;07/11/1984;Anguilla;AIA;;;;;Kph;Storm;Tropical cyclone;--;--;0;0;2115;0;Klaus;1984-0200
17/11/1999;19/11/1999;Anguilla;AIA;;;;215;Kph;Storm;Tropical cyclone;--;--;0;150;50;0;Lenny;1999-0528
26/11/1920;26/11/1920;Albania;ALB;Tepelen, Dragoti, Peshtani, Maricaj;40.2;20;6.2;Richter;Earthquake;Ground movement;--;--;200;0;0;0;;1920-0018
01/06/1905;01/06/1905;Albania;ALB;Shkoder;42.1;19600;6.6;Richter;Earthquake;Ground movement;--;--;120;0;23800;0;;1905-0008
28/01/1931;28/01/1931;Albania;ALB;Korce;40.6;20.8;5.8;Richter;Earthquake;Ground movement;--;--;90;0;0;0;;1931-0018
06/03/1985;06/03/1985;Albania;ALB;;;;;°C;Extreme temperature ;Severe winter conditions;--;--;68;7085;0;0;;1985-0244
27/08/1942;27/08/1942;Albania;ALB;Peshkopia, Magellare;41.7;20.4;6;Richter;Earthquake;Ground movement;--;--;43;110;0;0;;1942-0042
21/11/1930;21/11/1930;Albania;ALB;Vlore, Himare, Kuc;40.5;19.5;6;Richter;Earthquake;Ground movement;--;--;35;3048;0;0;;1930-0034
15/04/1979;15/04/1979;Albania;ALB;Northern;42.10 N;19.21 E;6.9;Richter;Earthquake;Ground movement;--;--;35;350;0;0;;1979-0039
02/12/1930;02/12/1930;Albania;ALB;Vlore, Tepelene;40.3;19.6;5;Richter;Earthquake;Ground movement;--;--;25;0;0;0;;1930-0035
30/11/1967;30/11/1967;Albania;ALB;Shupenze (Albania-Yugo Border);;;;Richter;Earthquake;Ground movement;--;--;11;134;0;0;;1967-0075
08/01/2002;08/01/2002;Albania;ALB;Diber, Bulqize, Mat, Shkoder, Malesi E Madhe, Puke, Kukes, Has, Tropoje, Lezhe, Kurbin, Mirdite provinces (Shkoder, Diber, Kukes, Lezhe prefectures) (Shkoder, Diber, Puke, Kukes, Dibrell, Chukkas, Lezhe most affected cities);;;;Kph;Storm;Convective storm;Cold wave;--;6;125000;0;0;;2002-0010
20/01/2017;20/01/2017;Albania;ALB;Peshkopi, Bulqiza, Kukes, Puka, Skhodra, Mirdita and Pogradec;;;;°C;Extreme temperature ;Severe winter conditions;Snow/ice;--;6;0;0;0;;2017-0010
/01/2012;/02/2012;Albania;ALB;Puke, Shkoder, Kukes, Librazhd, Korce provinces, Peshkopi district (Diber province);;;;°C;Extreme temperature ;Severe winter conditions;--;--;5;230000;0;0;;2012-0012
01/07/2004;/07/2004;Albania;ALB;Durres city (Durres district, Durres province);;;38;°C;Extreme temperature ;Heat wave;--;--;3;0;0;0;;2004-0333
23/01/2005;28/02/2005;Albania;ALB;Kukes, Has, Tropoje, Diber, Bulqize, Mat, Shkoder, Malesi E Madhe, Puke, Lezhe, Kurbin, Mirdite, Korce, Devoll, Kolonje, Pogradec, Elbasan, Gramsh, Librazhd, Peqin, Berat, Kucove, Skrapar, Gjirokaster, Permet, Tepelene, Vlore, Delvine, Sarande, Vlore Has provinces;;;;Kph;Storm;Convective storm;Cold wave;Avalanche (Snow, Debris);2;400000;0;0;;2005-0045
16/11/1982;16/11/1982;Albania;ALB; Lushnje;40.883;19.59;5.5;Richter;Earthquake;Ground movement;--;--;1;5005;0;0;;1982-0161
09/01/1988;09/01/1988;Albania;ALB;Tirana, Ulcinj-Bar;41.246;19.63;5.8;Richter;Earthquake;Ground movement;--;--;0;690;0;0;;1988-0702
//1989;//1991;Albania;ALB;;;;;Km2;Drought;Drought;--;--;0;3200000;0;0;;1989-9335
01/10/1998;01/10/1998;Albania;ALB;Kukes, Peshkopi;41.925;20.39;5;Richter;Earthquake;Ground movement;--;--;0;2100;0;0;;1998-0584
15/07/2007;22/07/2007;Albania;ALB;Berat, Bulqize, Delvine, Devoll, Diber, Durres, Elbasan, Fier, Gjirokastër, Gramsh, Has, Kavaje, Kolonjë, Korce, Krujë, Kucove, Kukës, Kurbin, Lezhë, Librazhd, Lushnjë, Malesi E Madhe, Mallakaster, Mat, Mirditë, Peqin, Permet, Pogradec, Puke, Sarandë, Shkoder, Skrapar, Tepelenë, Tirane, Tropojë, Vlore provinces;;;;°C;Extreme temperature ;Heat wave;--;--;0;150;0;0;;2007-0235
/07/2007;/07/2007;Albania;ALB;Kolonje, Vlore, Puke, Tropoje provinces;;;;Km2;Wildfire;Forest fire;--;--;0;75;0;0;;2007-0365
07/09/2009;07/09/2009;Albania;ALB;Peshkopi district;;;5.2;Richter;Earthquake;Ground movement;--;--;0;150;0;0;;2009-0366
01/06/2019;01/06/2019;Albania;ALB;Korçë county;40.501;20.722;5.2;Richter;Earthquake;Ground movement;--;--;0;304;0;0;;2019-0232
21/09/2019;21/09/2019;Albania;ALB;Durres, Tirana Counties;41.381;19.454;5.6;Richter;Earthquake;Ground movement;--;--;0;4608;45000;0;;2019-0444
17/09/1989;17/09/1989;Netherlands Antilles;ANT;;;;;Kph;Storm;Tropical cyclone;--;--;11;0;50000;0;Hugo;1989-0115
05/09/1995;05/09/1995;Netherlands Antilles;ANT;Sint Marrten, Sint Eustasius, Saba;;;220;Kph;Storm;Tropical cyclone;--;--;2;40000;1000000;700000;Luis;1995-0193
30/12/1954;30/12/1954;Netherlands Antilles;ANT;Saint martin/Saba;;;;Kph;Storm;Tropical cyclone;--;--;0;0;0;0;Alice;1954-0027
04/09/1960;04/09/1960;Netherlands Antilles;ANT;St Martin Isl., Saba;;;;Kph;Storm;Tropical cyclone;--;--;0;0;0;0;Donna;1960-0025
15/01/1944;15/01/1944;Argentina;ARG;San Juan;-31.372;68.436;7;Richter;Earthquake;Ground movement;--;--;10000;155000;100000;0;;1944-0002
17/12/1920;17/12/1920;Argentina;ARG;Mendoza;-32.7;-68.4;6;Richter;Earthquake;Ground movement;--;--;400;0;0;0;;1920-0019
04/01/1972;04/01/1972;Argentina;ARG;Buenos Aires;;;;°C;Extreme temperature ;Heat wave;--;--;100;0;0;0;;1972-0014
/02/1974;/02/1974;Argentina;ARG;Santiago Del Estero;;;;Kph;Storm;--;--;--;100;100000;0;0;;1974-0011
23/11/1977;23/11/1977;Argentina;ARG;Cardoba, Buenos Aires, Caucete, Bragado San Juan province;31.03 S;67.77 W;7.4;Richter;Earthquake;Ground movement;--;--;70;40100;80000;0;;1977-0137
01/01/1973;01/01/1973;Argentina;ARG;San Justo;;;;Kph;Storm;Convective storm;--;--;60;300;0;0;;1973-0002
/07/2010;/07/2010;Argentina;ARG;Buenos Aires, Buenos Aires D.f., Catamarca, Chaco, Chubut, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago Del Estero, Tierra Del Fuego, Tucuman provinces;;;;°C;Extreme temperature ;Cold wave;--;--;42;0;0;0;;2010-0294
21/01/1994;21/01/1994;Argentina;ARG;Near Puerto Madryn, Santa Rosa province, Pampa;;;4300;Km2;Wildfire;Land fire (Brush, Bush, Pasture);--;--;24;0;0;0;;1994-0611
13/03/1975;13/03/1975;Argentina;ARG;Nequen province;;;;Kph;Storm;--;--;--;20;0;0;0;;1975-0023
04/04/2012;04/04/2012;Argentina;ARG;Buenos Aires , Buenos Aires D.f. provinces;;;150;Kph;Storm;Convective storm;--;--;18;2020;10000;0;;2012-0087
05/04/2001;05/04/2001;Argentina;ARG;Palma Sola city (Santa Barbara district, Jujuy province), Salta and Catamarca provinces;;;;Kph;Storm;--;--;--;16;2000;15000;0;;2001-0147
06/02/1993;06/02/1993;Argentina;ARG;River Plate area;;;100;Kph;Storm;--;--;--;15;8000;50000;0;;1993-0116
17/06/2000;17/06/2000;Argentina;ARG;Buenos Aires, Sante Fe, Formosa, Santa Cruz provinces;;;0;°C;Extreme temperature ;Cold wave;--;--;15;300;0;0;;2000-0421
/07/2001;/07/2001;Argentina;ARG;Chubut, Neuquen, Rio Negro (Patagonia), Catamarca, Buenos Aires provinces;;;-28;°C;Extreme temperature ;Cold wave;--;--;14;3000;0;0;;2001-0377
11/11/2003;13/11/2003;Argentina;ARG;Sante Fe, Cordoba, Buenos Aires provinces;;;;Kph;Storm;Convective storm;Flood;Hail;12;900;0;0;;2003-0539
30/01/2005;30/01/2005;Argentina;ARG;Buenos Aires D.f., Buenos Aires provinces;;;90;Kph;Storm;--;--;--;11;252;0;0;;2005-0055
09/09/2009;09/09/2009;Argentina;ARG;Santa Rosa, Tobuna, Pozo Azul cities (San Pedro district, Misiones province);;;;Kph;Storm;Convective storm;--;--;10;24;0;0;;2009-0356
/05/2007;/07/2007;Argentina;ARG;Rosario district (Santa Fe province), Cordoba, San Luis, Buenos Aires, Buenos Aires D.f., Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra Del Fuego, Mendoza, La Rioja provinces;;;-3.8;°C;Extreme temperature ;Severe winter conditions;Snow/ice;--;9;0;0;0;;2007-0263
/12/2000;/12/2000;Argentina;ARG;La Pampa, Mendoza, San Luis, Formosa provinces;;;20500;Km2;Wildfire;Forest fire;--;--;8;0;0;0;;2000-0853
15/02/2015;24/02/2015;Argentina;ARG;Colon, Cruz del Eje, Punilla districts (Cordoba province);;;;Kph;Storm;Convective storm;Flood;--;8;4500;17200;0;;2015-0044
26/01/1985;26/01/1985;Argentina;ARG;Mendoza province;-33.053;-68.467;6.9;Richter;Earthquake;Ground movement;--;--;6;45238;0;0;;1985-0024
10/04/1995;10/04/1995;Argentina;ARG;Buenos Aires Province;;;;Kph;Storm;--;--;--;6;6000;0;0;;1995-0049
30/10/1978;30/10/1978;Argentina;ARG;Cordoba;;;;Kph;Storm;--;--;--;5;100;0;0;;1978-0127
/07/2004;/07/2004;Argentina;ARG;Mar del Plata city (General Pueyrredon district, Buenos Aires province);;;-11;°C;Extreme temperature ;Cold wave;Snow/ice;--;5;0;0;0;;2004-0331
10/01/2001;10/01/2001;Argentina;ARG;Buenos Aires province;;;200;Kph;Storm;--;--;--;4;650;0;0;;2001-0012
03/12/2013;03/12/2013;Argentina;ARG;Banfield city (Lomas de Zamora district, Buenos Aires province), Chivilcoy district (Buenos Aires province).;;;;Kph;Storm;Convective storm;--;--;4;12;2000;0;;2013-0551
22/10/2002;22/10/2002;Argentina;ARG;Entre Rios, Santa Fe, Buenos Aires, Buenors Aires D.f. provinces;;;0;Kph;Storm;--;--;--;3;5000;0;0;;2002-0723
28/04/2018;29/04/2018;Argentina;ARG;La Matanza, Quilmes, Padre Varela de Luján,Lomas de Zamora districts (Buenos Aires);-35.21;-58.199;130;Kph;Storm;Convective storm;Flood;--;2;1200;0;0;;2018-0161
/12/1986;/12/1986;Argentina;ARG;La Riojaprovince;;;;Kph;Storm;Convective storm;--;--;1;1000;0;0;;1986-0137
/01/1987;/01/1987;Argentina;ARG;;;;;Kph;Storm;--;--;--;1;1000;10000;0;;1987-0331
27/12/2000;27/12/2000;Argentina;ARG;Buenos Aires D.f., Buenos Aires provinces;;;96;Kph;Storm;Convective storm;--;--;1;430;0;0;;2000-0839
29/10/2012;31/10/2012;Argentina;ARG;Buenos Aires, Buenos Aires D.f. provinces;;;110;Kph;Storm;Convective storm;Flood;--;1;7510;2000;0;;2012-0420
22/01/1987;22/01/1987;Argentina;ARG;Lanin area (Neuquen province), El Bolson area (Chubut province), Rio Negro province;;;;Km2;Wildfire;Forest fire;--;--;0;152752;100000;0;;1987-0002
13/08/1991;13/08/1991;Argentina;ARG;Santa Cruz;45.54 S;72.58 W;;;Volcanic activity;Ash fall;--;--;0;63200;0;0;Mt Hudson;1991-0765
/09/1995;/09/1995;Argentina;ARG;Rawson, sarmiento, El Maiten, Epuyen, Alto Rio Surgen, Cholila, El Hoyo y Carrenleufeu;;;;°C;Extreme temperature ;Cold wave;--;--;0;25000;0;0;;1995-0221
07/02/1998;07/02/1998;Argentina;ARG;Buenos Aires;;;;Kph;Storm;--;--;--;0;4000;0;0;;1998-0029
/01/1999;/01/1999;Argentina;ARG;Patagonia Province;;;372;Km2;Wildfire;Forest fire;--;--;0;0;0;0;;1999-0048
/09/2000;/09/2000;Argentina;ARG;Neugen, Rio Negro, Chubut, Santa Cruz (Patagonia region);;;;Kph;Storm;Convective storm;--;--;0;0;0;0;;2000-0607
/08/2001;/08/2001;Argentina;ARG;La Rioja province;;;600;Km2;Wildfire;Forest fire;--;--;0;0;0;0;;2001-0442
28/05/2002;28/05/2002;Argentina;ARG;Aminga, Anillaco, Agua Blanca, Chuquis towns (Castro Barros district, La Rioja Provinve);-28.937;-66.797;6;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;0;727;0;0;;2002-0368
/07/2002;/07/2002;Argentina;ARG;Catamarca, Chaco, Corrientes, Formosa, Jujuy, Misiones, Salta, Santiago Del Estero, Tucuman provinces;;;;°C;Extreme temperature ;Cold wave;--;--;0;200;0;0;;2002-0494
/06/2003;/09/2003;Argentina;ARG;Buenos Aires, Buenos Aires D.f., Entre Rios, Santa Fe provinces;;;;Km2;Drought;Drought;--;--;0;0;120000;0;;2003-9785
07/05/2008;07/05/2008;Argentina;ARG;Bariloche district (Rio Negro Province), Chubut province;-42.833;-72.65;;;Volcanic activity;Ash fall;--;--;0;0;0;0;Chaiten;2008-0182
/01/2009;//2009;Argentina;ARG;Río Negro, La Pampa, Córdoba, Buenos Aires, Entre Ríos, Santa Fe, Corrientes, Chaco, Formosa, Santiago del Estero provinces;;;;Km2;Drought;Drought;Wildfire;--;0;0;0;0;;2009-9055
